id,category,sub_category,bahasa_formal,bahasa_produksi
1,H,m,Hologram (Missing),Hologram Hilang
2,H,sc,Hologram (Scratch),Hologram Terkelupas
3,H,mr,Hologram (Miss Register),Hologram Bergeser
4,P,bt,Print (Blur Text),Text Blur
5,P,bi,Print (Blur Image),Cetakan Dasar Blur
6,P,is,Print (Ink Smear),Blobor
7,P,sp,Print (Spot),Noda
8,P,uin,Print (Under Inking),Text Dasar Tipis
9,P,oin,Print (Over Inking),Text Dasar Tebal
10,C,uim,Color (Under Image),Warna Dasar Tipis
11,C,oim,Color (Over Image),Warna Dasar Tebal
14,C,nu,Color (Non Uniform),Kombinasi Warna Tidak Sesuai / Gradasi
15,C,inc,Color (Incorrect),Warna Dasar Tidak Sesuai
16,A,fol,Appeareance (Folded),Terlipat
17,A,pl,Appereance (Plooi),Flui
18,A,hl,Appereance (Hole),Bolong
19,A,t,Appeareance (Tear),Sobek
20,M,m,Mixed Product,Tercampur
