id,station,id_unit,id_seksi,created_at,updated_at
1,Kepala Divisi SBU Produk Non Uang,1,1,10-03-2022 2:11,10-03-2022 2:11
2,Kepala Departement Pita Cukai,1,1,10-03-2022 2:11,10-03-2022 2:11
3,Kepala Seksi Khazanah & Verifikasi Pita Cukai,1,2,10-03-2022 2:11,10-03-2022 2:11
4,Kepala Seksi Cetak Pita Cukai,1,3,10-03-2022 2:11,10-03-2022 2:11
5,Kepala Unit Khazanah Awal Pita Cukai,2,2,10-03-2022 2:11,10-03-2022 2:11
6,Kepala Unit Cetak Pita Cukai,3,3,10-03-2022 2:11,10-03-2022 2:11
7,Kepala Unit Verifikasi Pita Cukai,4,2,10-03-2022 2:11,10-03-2022 2:11
8,Kepala Unit Khazanah Akhir Pita Cukai,5,2,10-03-2022 2:11,10-03-2022 2:11
9,Kepala Unit Pengiriman,6,4,10-03-2022 2:11,10-03-2022 2:11
10,Admin Seksi Khazanah & Verifikasi Pita Cukai,1,2,10-03-2022 2:11,10-03-2022 2:11
11,Admin Unit Cetak Pita Cukai,3,3,10-03-2022 2:11,10-03-2022 2:11
12,Admin Unit Khazanah Awal Pita Cukai,2,2,10-03-2022 2:11,10-03-2022 2:11
13,Admin Unit Verifikasi Pita Cukai,4,2,10-03-2022 2:11,10-03-2022 2:11
14,Admin Unit Khazanah Akhir Pita Cukai,5,2,10-03-2022 2:11,10-03-2022 2:11
15,Operator Mesin Inspeksi Pita Cukai,4,2,10-03-2022 2:11,10-03-2022 2:11
16,Kepala Meja Pita Cukai Non-Perekat ,4,2,10-03-2022 2:11,10-03-2022 2:11
17,Assistant Kepla Meja PC Non-Perekat ,4,2,10-03-2022 2:11,10-03-2022 2:11
18,QC Pita Cukai NP ( Team A1 ),4,2,10-03-2022 2:11,10-03-2022 2:11
19,QC Pita Cukai NP ( Team A2 ),4,2,10-03-2022 2:11,10-03-2022 2:11
20,QC Pita Cukai P ( Team A ),4,2,10-03-2022 2:11,10-03-2022 2:11
21,QC Pita Cukai P ( Team B ),4,2,10-03-2022 2:11,10-03-2022 2:11
22,Kepala Meja Pita Cukai MMEA,4,2,10-03-2022 2:11,10-03-2022 2:11
23,Assistant Kepla Meja Pita Cukai MMEA,4,2,10-03-2022 2:11,10-03-2022 2:11
24,QC Pita Cukai MMEA,4,2,10-03-2022 2:11,10-03-2022 2:11
25,PIC Pita Cukai NP,4,2,10-03-2022 2:11,10-03-2022 2:11
26,PIC Pita Cukai MMEA,4,2,10-03-2022 2:11,10-03-2022 2:11
